Variable,(1) OLS,(1) OLS_se,(2) TWFE,(2) TWFE_se,(3) TWFE+H2,(3) TWFE+H2_se
rd_intensity,-0.7965***,(0.0432),-0.5346***,(0.0943),-0.6325***,(0.1923)
rd_x_size,,,,,0.0371,(0.0648)
ln_at,0.0277***,(0.0019),0.0466***,(0.0079),0.0459***,(0.0080)
leverage,-0.1380***,(0.0151),-0.1336***,(0.0284),-0.1337***,(0.0284)
capx_intensity,-0.0657,(0.0414),0.0187,(0.0577),0.0187,(0.0576)
cash_ratio,-0.0531***,(0.0142),0.0313,(0.0270),0.0308,(0.0269)
Firm FE,No,,Yes,,Yes,
Year FE,No,,Yes,,Yes,
Clustered SE,No,,Yes,,Yes,
N,"8,116",,"8,116",,"8,116",
R²,0.151,,0.069,,0.069,
